和名,学名 (大菌輪),別名 (目録2016),学名 (目録2016),科 (目録2016),属 (目録2016),Family (目録2016),Genus (目録2016),学名 (Mycobank),最新異名 (Mycobank)
シワナシキオキナタケ,Bolbitius titubans,,Bolbitius titubans (Bull.) Fr.,オキナタケ科,オキナタケ属,Bolbitiaceae,Bolbitius,"Bolbitius titubans (Bull.) Fr., Epicrisis Systematis Mycologici: 254 (1838) [MB#175350]","Bolbitius vitellinus var. titubans (Bull.) M.M. Moser ex Bon, Documents Mycologiques 18 (70-71): 37 (1987) [MB#132865]

<br />Bolbitius vitellinus subsp. titubans (Bull.) Konrad & Maubl., Icones Selectae Fungorum Fasc. 4: pl. 171: 2, t. 171:2 (1928) [MB#499378]

<br />Pluteolus titubans var. titubans (Bull.) Quél.: 83 (1888) [MB#569774]

<br />Pluteolus titubans (Bull.) Quél., Enchiridion Fungorum in Europa media et praesertim in Gallia Vigentium: 105 (1886) [MB#493098]

<br />Prunulus titubans (Bull.) Gray, A natural arrangement of British plants 1: 632 (1821) [MB#486526]

<br />Agaricus vitellinus Pers., Synopsis methodica fungorum: 402 (1801) [MB#165280]<br />Agaricus titubans Bull., Herbier de la France 9: t. 425:1 (1789) [MB#247469]

"

シワハナゴケ,Cladonia submitis,,,,,,,Cladonia submitis A. Evans (1943) [MB#365718],"Cladina submitis (A. Evans) Hale & W.L. Culb., The Bryologist 73 (3): 510 (1970) [MB#341744]"

シワホウライタケ,Marasmius leveilleanus,,Marasmius leveilleanus (Berk.) Sacc.,ホウライタケ科,ホウライタケ属,Marasmiaceae,Marasmius,"Marasmius leveilleanus (Berk.) Sacc. & Trotter, Sylloge Fungorum 23: 149 (1925) [MB#198647]","Heliomyces leveilleanus Berk., London Journal of Botany 6: 490 (1847) [MB#172606]"

ジクホコリ,Diachea leucopodia,,,,,,,Diachea leucopodia (Bull.) Rostaf.: 190 (1875) [MB#547050],"Diachea leucopodia var. leucopoda (1875) [MB#582745]<br />Diachea leucopoda (Bull.) Rostaf., Sluzowce Monografia: 190 (1874) [MB#120783]<br />Stemonitis leucopodia (Bull.) DC.: 257 (1805) [MB#566864]

<br />Trichia leucopoda Bull., Histoire des champignons de la France. I: 121, t. 502:2 (1791) [MB#174454]

<br />Trichia leucopodia Bull., Histoire des champignons de la France. I: 121, t. 502:2 (1791) [MB#517470]

<br />Trichia leucopodia Bull.: 121, tab. 502, fig. 2 (1791) [MB#547049]

"

ジマメタケ,Genea sphaeroides,コマメタケ,Genea sphaeroides S. Imai,ピロネマキン科,ジマメタケ属,Pyronemataceae,Genea,"Genea sphaeroides S. Imai, Proc. Imp. Acad. Tokyo: 182 (1933) [MB#278549]",

ジムシヤドリタケ,Ophiocordyceps superficialis,,"Ophiocordyceps superficialis (Peck) G.H. Sung, J.M. Sung, Hywel-Jones & Spatafora",オフィオコルディセプス科,オフィオコルディセプス属,Ophiocordycipitaceae,Ophiocordyceps,"Ophiocordyceps superficialis (Peck) G.H. Sung, J.M. Sung, Hywel-Jones & Spatafora, Studies in Mycology 57: 47 (2007) [MB#504347]","Cordyceps superficialis (Peck) Sacc., Sylloge Fungorum 2: 574 (1883) [MB#235409]<br />Torrubia superficialis Peck, Annual Report on the New York State Museum of Natural History 28: 70 (1876) [MB#243446]

"

ジャガイモタケ,Heliogaster columellifer,"クラマノジャガイモタケ，
ミツエタケ",Heliogaster columellifer (Kobayasi) Orihara et Iwase,イグチ科,ジャガイモタケ属,Boletaceae,Heliogaster,"Heliogaster columellifer (Kobayasi) Orihara & K. Iwase, Mycologia 102 (1): 115 (2010) [MB#513564]","Octaviania columellifera Kobayasi, Botanical Magazine Tokyo 51: 297 (1937) [MB#261372]"

ジュズキノリ,Anema decipiens,,,,,,,Anema decipiens (A. Massal.) Forssell (1885) [MB#376136],"Gabura decipiens (A. Massal.) Kuntze (1891) [MB#385066]<br />Collema decipiens (A. Massal.) Nyl. (1857) [MB#383242]

<br />Thyrea decipiens (A. Massal.) A. Massal., Flora (Regensburg) 39: 211 (1856) [MB#407567]

<br />Omphalaria decipiens A. Massal., Frammenti lichenografici: 14 (1855) [MB#396172]

"

ジュズテングノメシガイ,Geoglossum simile,,Geoglossum simile Peck,テングノメシガイ科,ヒメテングノメシガイ属,Geoglossaceae,Geoglossum,"Geoglossum simile Peck, Bulletin of the Buffalo Society of Natural Sciences 1: 70 (1873) [MB#162582]","Geoglossum glabrum var. simile (Peck) S. Imai, Trans. Mycol. Soc. Japan: 52 (1962) [MB#353487]"

ジョウゴゴケ,Cladonia chlorophaea,,,,,,,"Cladonia chlorophaea (Flörke ex Sommerf.) Spreng., Caroli Linnaei systema vegetabilium 4 (1): 273 (1827) [MB#122175]","Cladonia pyxidata subsp. chlorophaea (Flörke ex Sommerf.) V. Wirth, Stuttgarter Beiträge zur Naturkunde 517: 62 (1994) [MB#442995]"

ジョウゴハリタケ,Phellodon tomentosus,,Phellodon tomentosus (L.) Banker,マツバハリタケ科,クロハリタケ属,Bankeraceae,Phellodon,"Phellodon tomentosus (L.) Banker, Memoirs of the Torrey Botanical Club 12: 171 (1906) [MB#414467]","Calodon tomentosus (L.) Maire, Publicacions del Instituto Botánico Barcelona 3 (4): 36 (1937) [MB#280379]

<br />Hydnum leptopus Pers., Mycologia Europaea 2: 170 (1825) [MB#356036]<br />Hydnum cyathiforme Schaeff., Fungorum qui in Bavaria et Palatinatu circa Ratisbonam nascuntur Icones 4: 93, pl. 139 (1774) [MB#244395]

<br />Hydnum tomentosum L., Species Plantarum: 1178 (1753) [MB#473477]

"

ジンガサタケ,Panaeolus semiovatus,,Panaeolus semiovatus (Sowerby) S. Lundell & Nannf.,オキナタケ科,ヒカゲタケ属,Bolbitiaceae,Panaeolus,"Panaeolus semiovatus (Sowerby) S. Lundell & Nannf., Fungi Exsiccati Suecici Fasc. 11-12: no. 537 (1938) [MB#414609]","Anellaria semiovata (Sowerby) A. Pearson & Dennis, Transactions of the British Mycological Society 31 (3-4): 185 (1948) [MB#284166]

<br />Coprinus semiovatus (Sowerby) Gray, A natural arrangement of British plants 1: 632 (1821) [MB#492181]

<br />Agaricus semiovatus Sowerby, Coloured Figures of English Fungi 2: 56, t. 131 (1799) [MB#181339]

<br />Agaricus separatus L., Species Plantarum: 1175 (1753) [MB#184188]"

ジンガサドクフウセンタケ,Cortinarius rubellus,,Cortinarius rubellus Cooke,フウセンタケ科,フウセンタケ属,Cortinariaceae,Cortinarius,"Cortinarius rubellus Cooke, Grevillea 16 (78): 44 (1887) [MB#166839]",

スエヒロタケ,Schizophyllum commune,スエヒロダケ,Schizophyllum commune Fr. : Fr.,スエヒロタケ科,スエヒロタケ属,Schizophyllaceae,Schizophyllum,"Schizophyllum commune Fr., Systema Mycologicum 1: 330 (1821) [MB#208403]","Merulius communis (Fr.) Spirin & Zmitr., Novosti Sistematiki Nizshikh Rastenii 37: 182 (2004) [MB#366358]

<br />Schizophyllum alneus (L.) Kuntze, Revisio generum plantarum 3 (2): 478 (1898) [MB#523460]<br />Daedalea commune (Fr.) P. Kumm., Der Führer in die Pilzkunde: 53 (1871) [MB#507835]

<br />Schizonia vulgaris Pers., Mycologia Europaea 3: 14 (1828) [MB#432129]

<br />Scaphophoeum agaricoides Ehrenb. (1820) [MB#450725]

<br />Agaricus alneus L., Species Plantarum: 1176 (1753) [MB#207608]

"

スエヒロチャヒラタケ,Crepidotus regularis,,Crepidotus regularis Hesler & A.H. Sm.,アセタケ科,チャヒラタケ属,Inocybaceae,Crepidotus,"Crepidotus regularis Hesler & A.H. Sm., North American species of Crepidotus: 114 (1965) [MB#329281]",

スカシカミノケホコリ,Comatricha laxa,,,,,,,"Comatricha laxa Rostaf., Sluzowce Monografia: 201 (1874) [MB#185323]","Stemonitis laxa (Rostaf.) Massee, A Monograph of the Myxogastres: 79 (1892) [MB#379244]"

スカシムラサキホコリ,Stemonitis splendens</i> var. <i>webberi,,,,,,,,

スギエダタケ,Strobilurus ohshimae,,Strobilurus ohshimae (Hongo & Matsuda) Hongo,タマバリタケ科,マツカサキノコ属,Physalacriaceae,Strobilurus,"Strobilurus ohshimae (Hongo & I. Matsuda) Hongo ex Katum., List of Fungi Recorded in Japan: 954 (2010) [MB#540125]","Strobilurus ohshimae (Hongo & I. Matsuda) Hongo ex Katum., List of Fungi Recorded in Japan: 954 (2010) [MB#540125]<br />Strobilurus ohshimae (Hongo & Matsuda) Hongo & Izawa, Yama-Kei Field Book on Mushrooms (Tokyo) (1994) [MB#307935]<br />Pseudohiatula ohshimae Hongo & I. Matsuda, Mycological Flora of Japan. Basidiomycetes 2(5): 194 (1959) [MB#321806]

<br />Marasmius ohshimae Hongo & Matsuda, Journal of Japanese Botany 30 (3): 76 (1955) [MB#300202]

"

スギタケ,Pholiota squarrosa,,Pholiota squarrosa (Weigel:Fr.) P. Kumm.,モエギタケ科,スギタケ属,Strophariaceae,Pholiota,"Agaricus squarrosus Oeder, Fl. danic.: t. 491 (1770) [MB#490423]","Agaricus squarrosus Oeder, Fl. danic.: t. 491 (1770) [MB#490423]"

スギタケモドキ,Pholiota squarrosoides,,Pholiota squarrosoides (Peck) Sacc.,モエギタケ科,スギタケ属,Strophariaceae,Pholiota,"Pholiota squarrosoides (Peck) Sacc., Sylloge Fungorum 5: 750 (1887) [MB#149474]","Pholiota romagnesiana A.H. Sm. & Hesler, The North American species of Pholiota: 203 (1968) [MB#320035]<br />Dryophila ochropallida Romagn., Flore Analytique des Champignons Supérieurs: 328 (1953) [MB#297034]

<br />Hypodendrum squarrosoides (Peck) Overh., North American Flora 10 (5): 278 (1932) [MB#278721]

<br />Agaricus squarrosoides Peck, Annual Report on the New York State Museum of Natural History 31: 33 (1879) [MB#119947]

"

スギノオチバタケ,Marasmius capitatus,,Gloiocephala capitata (Har. Takah.) (ined.) = Marasmius capitatus Har. Takah.,タマバリタケ科,スギカワタケ属,Physalacriaceae,Gloiocephala,"Marasmius capitatus Har. Takah., Mycoscience 41 (6): 539 (2000) [MB#466537]",

スギノハヒメホウライタケ,Marasmius cryptomeriae,,Marasmius cryptomeriae Imai,ホウライタケ科,ホウライタケ属,Marasmiaceae,Marasmius,"Marasmius cryptomeriae S. Imai, Botanical Magazine Tokyo 55: 450 (1941) [MB#287925]",

スギヒラタケ,Pleurocybella porrigens,,Pleurocybella porrigens (Pers. ) Sing.,ホウライタケ科,スギヒラタケ属,Marasmiaceae,Pleurocybella,"Pleurocybella porrigens (Pers.) Singer, Mycologia 39 (1): 81 (1947) [MB#289763]","Nothopanus porrigens (Pers.) Singer, Beihefte zur Sydowia 7: 19 (1973) [MB#318736]<br />Pleurotellus porrigens (Pers.) Kühner & Romagn., Flore Analytique des Champignons Supérieurs: 74 (1953) [MB#438878]

<br />Geopetalum abietinum (Schrad.) Murrill, North American Flora 9 (5): 300 (1916) [MB#469353]

<br />Dendrosarcus porrigens (Pers.) Kuntze, Revisio generum plantarum 3 (2): 464 (1898) [MB#525032]

<br />Calathinus porrigens (Schrader) Quélet, Enchiridion Fungorum in Europa media et praesertim in Gallia Vigentium: 46 (1886) [MB#802601]

<br />Phyllotus porrigens (Pers.) P. Karst., Bidrag till Kännedom av Finlands Natur och Folk 32: 92 (1879) [MB#414469]

<br />Pleurotus porrigens (Pers.) P. Kumm., Der Führer in die Pilzkunde: 104 (1871) [MB#244083]

<br />Agaricus porrigens Pers., Observationes mycologicae 1: 54 (1796) [MB#240731]

<br />Agaricus abietinus Schrad., Spicilegium Florae Germanicae: 132 (1794) [MB#158414]

"

スジアミホコリ,Cribraria splendens,,,,,,,"Cribraria splendens (Schrad.) Pers., Synopsis methodica fungorum: 191 (1801) [MB#141341]","Trichia splendens (Schrad.) Poir., Encyclopédie Méthodique, Botanique 8: 55 (1808) [MB#376171]<br />Dictydium splendens Schrad., Nova genera plantarum. Pars prima cum tabulis aeneis coloratis: 14, t. 4:5-6 (1797) [MB#247393]

"

スジエノザラミノシメジ,Melanoleuca brevipes,,Melanoleuca brevipes (Bull.) Pat.,キシメジ科,ザラミノシメジ属,Tricholomataceae,Melanoleuca,"Melanoleuca brevipes (Bull.) Pat., Essai taxonomique sur les familles et les genres des Hyménomycètes: 159 (1900) [MB#438669]","Tricholoma melaleucum subvar. brevipes (Bull.) Maire, Bulletin de la Société d´Histoire Naturelle de l'Afrique du Nord 7: 30 (1916) [MB#500567]<br />Gyrophila grammopodia var. brevipes (Bull.) Quél., Flore mycologique de la France et des pays limitrophes: 267 (1888) [MB#500398]

<br />Gyrophila brevipes (Bull.) Quél., Enchiridion Fungorum in Europa media et praesertim in Gallia Vigentium: 18 (1886) [MB#493913]

<br />Tricholoma brevipes (Bull.) P. Kumm., Der Führer in die Pilzkunde: 133 (1871) [MB#151784]

<br />Gymnopus brevipes (Bull.) Gray, A natural arrangement of British plants 1: 609 (1821) [MB#486476]

<br />Agaricus brevipes Bull., Herbier de la France 11: t. 521:2 (1812) [MB#205362]

"

スジオチバタケ,Marasmius purpureostriatus,,Marasmius purpureostriatus Hongo,ホウライタケ科,ホウライタケ属,Marasmiaceae,Marasmius,"Marasmius purpureostriatus Hongo, Journal of Japanese Botany 33: 344 (1958) [MB#300212]",

スジカワキタケ,Lentinus similis,,Panus similis (Berk. & Broome) T.W. May & A.E. Wood,タマチョレイタケ科,カワキタケ属,Polyporaceae,Panus,"Lentinus similis Berk. & Broome, Journal of the Linnean Society. Botany 14: 43 (1875) [MB#199304]","Panus similis (Berk. & Broome) T.W. May & A.E. Wood, Mycotaxon 54: 148 (1995) [MB#413666]

<br />Panus fulvus var. similis (Berk. & Broome) Corner, Beihefte zur Nova Hedwigia 69: 85 (1981) [MB#117629]

<br />Lentinus velutinus f. similis (Berk. & Broome) Pilát, Annales Mycologici 34: 130 (1936) [MB#281449]

<br />Lentinus erringtonii Pat., J. Bot. (Morot): 69 (1900) [MB#163678]<br />Pocillaria similis (Berk. & Broome) Kuntze, Revisio generum plantarum 2: 866 (1891) [MB#470728]

"

スジチャダイゴケ,Cyathus striatus,,Cyathus striatus (Huds.) Willd.,ハラタケ科,チャダイゴケ属,Agaricaceae,Cyathus,"Cyathus striatus (Huds.) Willd., Florae Berolinensis Prodromus: 399 (1787) [MB#211223]","Cyathus hirsutus (Schaeff.) Sacc., Sylloge Fungorum 17: 214 (1905) [MB#140335]

<br />Cyathia hirsuta (Schaeff.) V.S. White, Bulletin of the Torrey Botanical Club 29: 259 (1902) [MB#144736]

<br />Cyathia lentifera (L.) V.S. White, Bulletin of the Torrey Botanical Club 29: 264 (1902) [MB#502109]

<br />Cyathella striata (Huds.) Brot., Flora Lusitanica 2: 474 (1804) [MB#492528]

<br />Nidularia striata (Huds.) Bull., Histoire des champignons de la France. I: 166, t. 40A (1791) [MB#244769]

<br />Peziza hirsuta Schrank, Baierische Flora 2: 625 (1789) [MB#232878]<br />Cyathus laevis Willd., Florae Berolinensis Prodromus: 399 (1787) [MB#494957]

<br />Peziza striata Huds., Flora anglica: 634 (1778) [MB#227483]

<br />Peziza hirsuta Schaeff., Fungorum qui in Bavaria et Palatinatu circa Ratisbonam nascuntur Icones 4: 124, t. 178 (1774) [MB#517529]

<br />Peziza lentifera L., Species Plantarum: 1180 (1753) [MB#492714]

"

スジモジゴケ,Fissurina inabensis,,,,,,,"Fissurina inabensis (Vain.) M. Nakan. & Kashiw., Bulletin of the National Science Museum Tokyo 29: 86 (2003) [MB#487961]","Graphina inabensis (Vain.) Zahlbr., Catalogus Lichenum Universalis 2: 409 (1923) [MB#385330]<br />Graphis inabensis Vain., Botanical Magazine Tokyo 32: 161 (1918) [MB#385876]

"

ススケアワタケ,Boletus subfuscus,,,,,,,"Boletus subfuscus With., A botanical arrangement of British plants 3: 407 (1792) [MB#528952]",

ススケイグチ,Boletus aereus,,,,,,,Boletus aereus Secr. (1833) [MB#159002],"Boletus edulis f. aereus (Bull.) Vassilkov: 19 (1966) [MB#486799]<br />Boletus edulis f. aereus (Bull.) Vassilkov, Outline of a geographical investigation of the cap fungi in the U.S.S.R.: 32 (1955) [MB#346577]

<br />Tubiporus edulis subsp. aereus (Bull.) Maire, Mémoires de la Société des Sciences Naturelles du Maroc 45: 87 (1937) [MB#263761]

<br />Suillus aereus (Bull.) Kuntze: 535 (1898) [MB#586133]

<br />Dictyopus aereus (Bulliard) Quélet, Enchiridion Fungorum in Europa media et praesertim in Gallia Vigentium: 159 (1886) [MB#802848]

<br />Dictyopus aereus var. aereus (Bull.) Quél. (1886) [MB#580474]

"

ススケクリイロカラカサタケ,Lepiota grangei,,Lepiota grangei (Eyre) J.E. Lange,ハラタケ科,キツネノカラカサ属,Agaricaceae,Lepiota,"Lepiota grangei (Eyre) Kühner, Bull. Soc. Linn. Lyon: 79 (1934) [MB#479408]","Lepiotula grangei (Eyre) E. Horak, New Zealand Journal of Botany 18: 184 (1980) [MB#113262]

<br />Lepiota grangei (Eyre) J.E. Lange, Flora Agaricina Danica 1: 30 (1935) [MB#115447]

<br />Lepiota grangei (Eyre) Kühner, Bull. Soc. Linn. Lyon: 79 (1934) [MB#479408]

<br />Lepiota ochraceocyanea Kühner, Bull. Soc. Linn. Lyon: 43 (1934) [MB#495626]<br />Hiatula grangei (Eyre) W.G. Sm., Synopsis of the British Basidiomycetes: A descriptive catalogue of the drawings and speciments in the department of Botany British Museum: 27 (1908) [MB#465193]

<br />Schulzeria grangei Eyre, Trans. Br. mycol. Soc.: 37 (1903) [MB#214102]

"

ススケチチタケ,Lactarius luridus,,Lactarius luridus (Pers.) Gray,ベニタケ科,カラハツタケ属,Russulaceae,Lactarius,"Lactarius luridus (Pers.) Gray, A natural arrangement of British plants 1: 625 (1821) [MB#160354]","Lactarius uvidus var. luridus (Pers.) Kavina, Mykologia: 119 (1929) [MB#494068]<br />Lactarius acris var. luridus (Pers.) Bataille, Flore Monographique des Astérosporées, Lactaires et Russules: 29 (1908) [MB#372811]

<br />Lactifluus luridus (Pers.) Kuntze, Revisio generum plantarum 3 (2): 857 (1891) [MB#229537]

<br />Galorrheus luridus (Pers.) P. Kumm., Der Führer in die Pilzkunde: 126 (1871) [MB#507862]

<br />Agaricus luridus Pers., Synopsis methodica fungorum: 436 (1801) [MB#185903]

"

ススケベニタケ,Russula decolorans,,Russula decolorans (Fr.) Fr.,ベニタケ科,ベニタケ属,Russulaceae,Russula,"Russula decolorans (Fr.) Fr., Stirpes agri Femsionensis 5: 57 (index) (1825) [MB#217638]","Russula steinbachii Cern. & Singer, Annales Mycologici 32 (5-6): 457 (1934) [MB#278774]<br />Russula decolorans var. albida A. Blytt & Rostr., Skrifter udgivne af Videnskabs-Selskabet i Christiania. Mathematisk-Naturvidenskabelig Klasse 6: 107 (1904) [MB#184369]

<br />Russula depallens var. albicans Gillet, Les Hyménomycètes ou Description de tous les Champignons qui Croissent en France: 240 (1876) [MB#513888]

<br />Myxacium decolorans (Fr.) P. Kumm., Der Führer in die Pilzkunde: 91 (1871) [MB#507925]

<br />Agaricus decolorans Fr., Systema Mycologicum 1: 56 (1821) [MB#228052]

"

ススケヤマドリタケ,Boletus hiratsukae,"ススケイグチ（川村），
ニセムラサキヤマドリタケ",Boletus hiratsukae Nagasawa,イグチ科,ヤマドリタケ属,Boletaceae,Boletus,"Boletus hiratsukae Nagas., Proceedings of the Japan Academy: 10 (1994) [MB#363102]",

ススタケ,Entoloma serrulatum,アオエノコゲイロウラベニタケ,Entoloma serrulatum (Pers.) Hesler,イッポンシメジ科,イッポンシメジ属,Entolomataceae,Entoloma,"Entoloma serrulatum (Fr.) Hesler, Beihefte zur Nova Hedwigia 23: 140 (1967) [MB#330543]","Rhodophyllus serrulatus (Fr.) Quél., Enchiridion Fungorum in Europa media et praesertim in Gallia Vigentium: 60 (1886) [MB#499481]

<br />Leptonia serrulata (Fr.) P. Kumm., Der Führer in die Pilzkunde: 96 (1871) [MB#192758]

<br />Agaricus atrides Lasch, Linnaea 4: 539 (1829) [MB#372051]<br />Agaricus serrulatus Fr., Observationes mycologicae 2: 216 (1818) [MB#182416]

<br />Agaricus serrula Pers., Synopsis methodica fungorum: 463 (1801) [MB#494828]

"

ススホコリ,Fuligo septica,,,,,,,"Fuligo septica (L.) F.H. Wigg., Primitiae Florae Holsaticae: 112 (1780) [MB#149977]","Aethalium septicum (L.) Fr., Systema Mycologicum 3: 93 (1829) [MB#171952]

<br />Aethalium septicum f. septicum (L.) Fr., Systema Mycologicum 3: 93 (1829) [MB#547515]

<br />Fuligo violacea Pers., Synopsis methodica fungorum: 160 (1801) [MB#140614]<br />Fuligo candida Pers., Observationes mycologicae 1: 92 (1796) [MB#238909]

<br />Fuligo rufa Pers., Neues Magazin für die Botanik 1: 83 (1794) [MB#241211]

<br />Reticularia septica (L.) With., A botanical arrangement of British plants 3: 470 (1792) [MB#192205]

<br />Mucor septicus L., Species Plantarum: 1656 (1763) [MB#432977]

"
